order_id,user_id,order_date,status,total_amount,total_amount
53,10,2025-02-04,completed,0.0,698.65
54,6,2025-02-23,shipped,0.0,3494.81
55,29,2025-06-16,pending,0.0,3438.25
56,25,2025-04-09,pending,0.0,3436.01
57,10,2024-12-20,pending,0.0,4031.76
58,16,2025-07-18,shipped,0.0,4327.19
59,10,2025-04-06,shipped,0.0,2255.63
60,14,2025-01-30,pending,0.0,563.92
61,21,2025-02-20,cancelled,0.0,2715.18
62,35,2025-06-04,cancelled,0.0,1940.35
63,28,2025-05-26,shipped,0.0,2039.28
64,43,2024-12-29,pending,0.0,3469.12
65,10,2025-06-12,cancelled,0.0,1513.78
66,14,2025-02-22,shipped,0.0,450.32
67,17,2025-04-13,completed,0.0,374.16
68,7,2025-08-20,pending,0.0,1709.18
69,47,2025-02-22,completed,0.0,113.93
70,26,2025-02-09,pending,0.0,2049.7
71,39,2025-09-24,pending,0.0,2118.02
72,44,2025-10-19,pending,0.0,3375.19
73,28,2025-05-17,pending,0.0,1360.14
74,44,2025-05-15,shipped,0.0,489.46
75,47,2025-04-19,shipped,0.0,2449.61
76,10,2025-11-06,shipped,0.0,1702.73
77,35,2025-02-26,shipped,0.0,1973.54
78,39,2025-11-13,shipped,0.0,2239.92
79,47,2024-11-24,shipped,0.0,1788.15
80,13,2025-03-06,cancelled,0.0,2544.87
81,2,2025-09-23,pending,0.0,2942.53
82,38,2025-01-14,completed,0.0,426.7
83,9,2025-08-17,shipped,0.0,1987.65
84,6,2025-06-29,shipped,0.0,3642.14
85,47,2025-04-13,shipped,0.0,1369.16
86,21,2025-04-15,shipped,0.0,466.53
87,8,2025-01-25,cancelled,0.0,1380.76
88,46,2025-05-18,cancelled,0.0,1401.11
89,16,2024-11-24,cancelled,0.0,2028.51
90,14,2025-03-10,shipped,0.0,1187.4
91,19,2024-12-19,pending,0.0,477.84
92,50,2025-01-03,shipped,0.0,1581.62
93,25,2025-03-29,cancelled,0.0,1314.06
94,15,2025-06-13,shipped,0.0,1364.58
95,13,2025-01-31,cancelled,0.0,352.42
96,36,2025-04-14,cancelled,0.0,1433.5
97,5,2024-12-30,completed,0.0,574.86
98,11,2025-05-17,shipped,0.0,1174.2
99,24,2025-03-31,cancelled,0.0,2560.19
100,16,2025-04-09,pending,0.0,3052.77
101,47,2025-03-14,cancelled,0.0,1195.0
102,7,2025-09-16,cancelled,0.0,2381.3
103,3,2025-03-07,pending,0.0,769.47
104,5,2024-12-12,completed,0.0,2383.41
105,32,2025-03-20,cancelled,0.0,3069.73
106,11,2025-01-17,cancelled,0.0,1029.92
107,38,2025-01-15,cancelled,0.0,2002.96
108,32,2025-10-27,shipped,0.0,3484.39
109,44,2024-11-23,shipped,0.0,1842.55
110,23,2025-10-18,completed,0.0,898.24
111,43,2025-09-17,completed,0.0,1010.48
112,43,2025-04-22,shipped,0.0,1400.22
113,15,2025-08-16,cancelled,0.0,3684.69
114,13,2025-06-10,cancelled,0.0,808.36
115,47,2024-11-28,shipped,0.0,2697.67
116,39,2024-12-13,completed,0.0,4395.8
117,38,2024-11-25,shipped,0.0,1228.73
118,19,2025-02-24,pending,0.0,4728.58
119,42,2025-03-15,cancelled,0.0,2221.42
120,19,2025-01-27,shipped,0.0,1243.92
121,9,2025-02-15,cancelled,0.0,6036.08
122,12,2025-06-25,shipped,0.0,5263.02
123,32,2025-08-10,pending,0.0,3715.33
124,2,2025-06-09,shipped,0.0,542.68
125,46,2024-12-26,cancelled,0.0,555.76
126,35,2025-09-26,completed,0.0,1016.58
127,29,2024-11-25,pending,0.0,337.28
128,13,2025-11-14,shipped,0.0,112.52
129,18,2025-04-06,pending,0.0,1751.4
130,3,2025-07-23,cancelled,0.0,2347.1
131,22,2025-06-26,shipped,0.0,1807.3
132,1,2025-05-12,pending,0.0,748.62
133,38,2025-05-16,pending,0.0,1481.22
134,27,2024-12-20,pending,0.0,2776.95
135,20,2025-02-13,shipped,0.0,3573.51
136,42,2025-06-02,cancelled,0.0,1880.74
137,46,2025-08-04,pending,0.0,1290.62
138,4,2025-01-11,completed,0.0,912.88
139,41,2025-09-24,shipped,0.0,2054.5
140,42,2025-10-08,pending,0.0,3222.95
141,50,2025-03-07,shipped,0.0,618.3
142,6,2025-10-08,pending,0.0,1918.94
143,25,2025-04-16,completed,0.0,343.99
144,9,2025-05-13,completed,0.0,468.99
145,25,2025-05-22,shipped,0.0,1515.46
146,16,2025-10-12,cancelled,0.0,2721.52
147,3,2025-07-18,cancelled,0.0,1085.72
148,35,2025-02-16,shipped,0.0,787.43
149,32,2025-08-21,pending,0.0,3524.99
150,34,2025-10-18,cancelled,0.0,3186.83
151,30,2024-11-26,completed,0.0,2866.97
152,28,2025-07-21,shipped,0.0,1845.5
153,45,2025-07-14,shipped,0.0,615.45
154,2,2025-09-07,shipped,0.0,1962.0
155,9,2025-06-02,shipped,0.0,406.27
156,9,2025-07-24,pending,0.0,1863.9
157,47,2025-01-17,pending,0.0,116.73
158,43,2024-11-24,cancelled,0.0,9.34
159,44,2025-10-06,shipped,0.0,4485.2
160,50,2025-04-25,completed,0.0,2349.44
161,9,2025-05-17,completed,0.0,839.43
162,24,2025-09-19,completed,0.0,2893.47
163,4,2025-09-08,completed,0.0,5527.1
164,35,2025-03-05,cancelled,0.0,385.83
165,33,2025-06-19,shipped,0.0,4161.94
166,25,2025-08-31,completed,0.0,1897.65
167,48,2025-07-12,completed,0.0,1912.42
168,37,2024-12-28,completed,0.0,2543.29
169,38,2025-10-31,completed,0.0,1482.47
170,26,2024-11-27,completed,0.0,227.44
171,46,2024-12-23,cancelled,0.0,864.85
172,19,2025-10-23,completed,0.0,1648.04
173,15,2025-04-30,shipped,0.0,1785.21
174,50,2025-10-27,pending,0.0,1750.84
175,39,2025-08-14,pending,0.0,3202.6
176,12,2025-03-07,pending,0.0,2575.36
177,11,2025-11-03,cancelled,0.0,5270.92
178,45,2025-03-30,cancelled,0.0,3180.57
179,1,2025-05-10,pending,0.0,1204.78
180,32,2025-05-18,cancelled,0.0,276.86
181,43,2025-02-12,pending,0.0,1832.32
182,20,2025-02-20,cancelled,0.0,1160.44
183,30,2025-05-19,cancelled,0.0,85.92
184,5,2025-09-15,completed,0.0,2673.32
185,39,2025-06-21,shipped,0.0,2663.69
186,14,2025-01-14,cancelled,0.0,3389.97
187,9,2025-03-03,completed,0.0,2371.47
188,22,2025-05-02,completed,0.0,563.98
189,6,2025-11-08,completed,0.0,66.12
190,20,2025-05-17,pending,0.0,954.98
191,19,2025-01-10,shipped,0.0,2334.12
192,19,2025-08-09,pending,0.0,144.27
193,19,2025-05-02,pending,0.0,4453.69
194,7,2025-10-29,completed,0.0,354.66
195,42,2025-09-26,shipped,0.0,576.06
196,17,2025-03-01,shipped,0.0,3215.79
197,4,2024-11-22,pending,0.0,1846.93
198,8,2025-10-31,shipped,0.0,2770.91
199,43,2025-09-25,shipped,0.0,3181.17
200,21,2025-02-19,shipped,0.0,3594.62
